#                                                                                                                                                                      $
#      ENTRAF is free for academic/noncommercial use                                                                                                                   $
#                                                                                                                                                                      $
#      User is not entitled to change or erase data sets of the ENTRAF database or to eliminate copyright notices from ENTRAF. Furthermore                             $
#      user is not entitled to expand ENTRAF or to integrate ENTRAF partly or as a whole into other databank systems     without prior written consent                 $
#      from IIMAS-UNAM.                                                                                                                                                $
#                                                                                                                                                                      $
# Citation                                                                                                                                                             $
#      Tenorio-Salgado   S. et al (2025) ENcyclopedia of TRAnscription Factors in Bacteria and Archaea genomes (ENTRAF) version 2.0.                                   $
#                                                                                                                                                                      $
# Contact                                                                                                                                                              $
#                                                                                                                                                                      $
#      ENTRAF Team                                                                                                                                                     $
#      Web Page: entraf.iimas.unam.mx                                                                                                                                  $
#      (ernesto.perez@iimas.unam.mx)                                                                                                                                   $
#                                                                                                                                                                      $
# Release: 2.0. Date: XX/XX/2025                                                                                                                                       $
# Interproscan annotations
#
ENTRAF_ID	PROTEIN_ID	LENGTH	PROGRAM	IDENTIFICATOR	FUNCTION	START	END	EVALUE	INTERPRO_ID	INTERPRO_FUNCTION	GO annotation
ENTRAF0001	P39765	181	CDD	cd06223	PRTases_typeI	16	151	9.58E-15	IPR000836	Phosphoribosyltransferase domain	-
ENTRAF0001	P39765	181	Pfam	PF00156	Phosphoribosyl transferase domain	7	158	1.10E-19	IPR000836	Phosphoribosyltransferase domain	-
ENTRAF0001	P39765	181	FunFam	G3DSA:3.40.50.2020:FF:000020	Bifunctional protein PyrR	1	180	1.20E-90	-	-	-
ENTRAF0001	P39765	181	NCBIfam	NF003548	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	5	180	2.60E-71	-	-	-
ENTRAF0001	P39765	181	SUPERFAMILY	SSF53271	PRTase-like	5	173	7.74E-44	IPR029057	Phosphoribosyltransferase-like	-
ENTRAF0001	P39765	181	NCBIfam	NF003549	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	2	180	2.10E-78	-	-	-
ENTRAF0001	P39765	181	Gene3D	G3DSA:3.40.50.2020	-	1	181	4.10E-68	IPR029057	Phosphoribosyltransferase-like	-
ENTRAF0001	P39765	181	NCBIfam	NF003545	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	10	168	4.60E-39	-	-	-
ENTRAF0001	P39765	181	Hamap	MF_01219	Bifunctional protein PyrR [pyrR].	4	179	39.38493	IPR023050	Bifunctional protein PyrR	-
ENTRAF0001	P39765	181	NCBIfam	NF003547	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	3	179	7.70E-67	-	-	-
ENTRAF0001	P39765	181	PANTHER	PTHR11608	BIFUNCTIONAL PROTEIN PYRR	1	180	8.50E-77	IPR050137	PyrR bifunctional	-
ENTRAF0002	P15401	280	ProSitePatterns	PS00654	PRD domain signature.	97	109	-	IPR001550	"Transcription antiterminator, conserved site"	GO:0003723(InterPro)|GO:0045893(InterPro)
ENTRAF0002	P15401	280	PANTHER	PTHR30185	CRYPTIC BETA-GLUCOSIDE BGL OPERON ANTITERMINATOR	1	277	9.70E-58	IPR050661	BglG family transcriptional antiterminators	-
ENTRAF0002	P15401	280	SUPERFAMILY	SSF63520	"PTS-regulatory domain, PRD"	172	273	6.54E-27	IPR036634	PRD domain superfamily	GO:0006355(InterPro)
ENTRAF0002	P15401	280	SMART	SM01061	CAT_RBD_2	1	58	2.20E-26	IPR004341	CAT RNA-binding domain	GO:0003723(InterPro)
ENTRAF0002	P15401	280	SUPERFAMILY	SSF50151	SacY-like RNA-binding domain	1	52	3.14E-16	IPR036650	CAT RNA-binding domain superfamily	GO:0003723(InterPro)
ENTRAF0002	P15401	280	Pfam	PF03123	CAT RNA binding domain	1	52	6.10E-17	IPR004341	CAT RNA-binding domain	GO:0003723(InterPro)
ENTRAF0002	P15401	280	Gene3D	G3DSA:1.10.1790.10	PRD domain	168	276	2.00E-30	-	-	-
ENTRAF0002	P15401	280	Gene3D	G3DSA:2.30.24.10	-	1	55	8.70E-22	IPR036650	CAT RNA-binding domain superfamily	GO:0003723(InterPro)
ENTRAF0002	P15401	280	Gene3D	G3DSA:1.10.1790.10	PRD domain	63	165	5.20E-28	-	-	-
ENTRAF0002	P15401	280	ProSiteProfiles	PS51372	PRD domain profile.	170	280	20.680901	IPR011608	PRD domain	GO:0006355(InterPro)
ENTRAF0002	P15401	280	SUPERFAMILY	SSF63520	"PTS-regulatory domain, PRD"	56	165	2.09E-33	IPR036634	PRD domain superfamily	GO:0006355(InterPro)
ENTRAF0002	P15401	280	ProSiteProfiles	PS51372	PRD domain profile.	64	169	22.717072	IPR011608	PRD domain	GO:0006355(InterPro)
ENTRAF0002	P15401	280	Pfam	PF00874	PRD domain	181	272	3.30E-19	IPR011608	PRD domain	GO:0006355(InterPro)
ENTRAF0002	P15401	280	Pfam	PF00874	PRD domain	74	161	3.00E-24	IPR011608	PRD domain	GO:0006355(InterPro)
